User_ID,Attempt_Number,H_mean_ms,H_median_ms,H_std_ms,F_mean_ms,F_median_ms,F_std_ms,T_total_ms,Drift_Level
DSU-SYN-01,1,110.645,89.9,30.365,103.23,61.211,19.106,1841.868,0.008163
DSU-SYN-01,2,110.187,81.383,31.432,97.472,57.136,21.03,1751.899,0.009952
DSU-SYN-01,3,108.25,93.146,29.953,93.501,56.093,20.651,1827.45,0.012128
DSU-SYN-01,4,115.567,90.07,33.929,101.818,68.898,18.038,1687.197,0.014774
DSU-SYN-01,5,117.002,83.555,32.11,106.421,45.383,15.436,1716.318,0.017986
DSU-SYN-01,6,105.08,88.112,33.17,100.307,46.598,12.806,1833.38,0.021881
DSU-SYN-01,7,106.776,88.296,33.637,99.582,59.729,19.174,1868.095,0.026597
DSU-SYN-01,8,105.715,85.203,32.402,103.802,52.92,19.928,1814.091,0.032295
DSU-SYN-01,9,108.774,90.373,26.962,91.251,46.527,12.82,1787.282,0.039166
DSU-SYN-01,10,113.257,84.949,32.479,105.747,63.551,18.515,1931.99,0.047426
DSU-SYN-01,11,110.149,82.365,30.547,90.546,50.454,17.835,1896.459,0.057324
DSU-SYN-01,12,118.505,79.854,33.073,93.446,58.867,18.452,1715.589,0.069138
DSU-SYN-01,13,114.795,83.992,30.825,93.579,52.374,19.908,1834.716,0.083173
DSU-SYN-01,14,112.095,89.125,35.543,98.306,47.77,21.576,1829.732,0.09975
DSU-SYN-01,15,116.375,89.583,32.009,102.883,68.727,24.182,1863.629,0.119203
DSU-SYN-01,16,112.011,93.455,30.333,103.287,57.318,19.87,1807.231,0.141851
DSU-SYN-01,17,103.732,78.179,29.782,99.111,56.237,24.038,1950.825,0.167982
DSU-SYN-01,18,107.407,90.819,31.704,100.814,59.705,20.868,1858.608,0.197816
DSU-SYN-01,19,118.142,83.977,32.902,118.846,60.605,23.044,1898.86,0.231475
DSU-SYN-01,20,116.401,90.077,32.644,99.408,62.597,17.49,1950.285,0.268941
DSU-SYN-01,21,119.663,92.933,32.556,107.712,58.985,22.13,1787.821,0.310026
DSU-SYN-01,22,113.357,81.944,29.751,114.147,67.095,18.179,1824.139,0.354344
DSU-SYN-01,23,101.058,90.026,39.77,109.606,59.305,21.337,1834.138,0.401312
DSU-SYN-01,24,115.273,94.121,33.743,112.816,65.708,22.051,1909.875,0.450166
DSU-SYN-01,25,122.146,102.665,31.777,103.842,72.651,20.111,2071.279,0.5
DSU-SYN-01,26,116.341,102.692,34.775,111.814,75.022,19.894,1922.083,0.549834
DSU-SYN-01,27,117.19,98.558,30.771,115.164,63.378,23.873,1835.019,0.598688
DSU-SYN-01,28,116.346,88.71,32.85,113.858,66.474,20.567,2005.565,0.645656
DSU-SYN-01,29,122.093,92.897,36.9,117.323,70.746,22.778,2050.753,0.689974
DSU-SYN-01,30,131.991,98.244,34.567,109.73,63.064,18.448,1980.113,0.731059
DSU-SYN-01,31,122.137,101.025,35.646,110.482,75.408,23.565,2042.393,0.768525
DSU-SYN-01,32,119.831,102.702,36.153,107.127,70.272,22.513,2000.688,0.802184
DSU-SYN-01,33,124.582,93.222,39.17,123.96,69.762,22.892,1903.922,0.832018
DSU-SYN-01,34,118.322,99.498,33.277,121.334,83.783,19.152,2021.834,0.858149
DSU-SYN-01,35,125.688,109.43,33.012,119.04,83.18,18.059,1997.576,0.880797
DSU-SYN-01,36,122.743,99.122,38.195,119.423,61.992,23.559,2052.658,0.90025
DSU-SYN-01,37,131.532,98.885,34.653,121.585,77.551,23.46,1980.068,0.916827
DSU-SYN-01,38,128.102,97.104,36.902,110.104,75.932,20.382,2012.485,0.930862
DSU-SYN-01,39,129.194,103.697,34.836,127.614,70.846,22.529,2124.638,0.942676
DSU-SYN-01,40,122.705,105.022,35.086,116.655,81.864,19.888,1939.889,0.952574
DSU-SYN-01,41,134.006,115.562,35.447,107.685,71.99,21.809,2097.967,0.960834
DSU-SYN-01,42,120.508,105.837,37.805,110.491,78.186,27.685,2125.36,0.967705
DSU-SYN-01,43,124.491,102.331,38.06,109.199,75.091,21.601,2244.38,0.973403
DSU-SYN-01,44,125.392,111.466,33.786,123.21,76.115,20.425,2128.865,0.978119
DSU-SYN-01,45,132.395,101.577,32.334,119.667,68.862,21.758,2111.904,0.982014
DSU-SYN-01,46,117.862,95.176,37.785,116.707,58.953,24.589,2137.645,0.985226
DSU-SYN-01,47,122.869,96.718,38.682,121.997,88.69,23.689,2146.512,0.987872
DSU-SYN-01,48,125.643,107.425,38.166,127.459,71.31,21.559,2086.489,0.990048
DSU-SYN-01,49,130.464,110.865,35.465,117.44,76.358,22.04,2187.206,0.991837
DSU-SYN-01,50,115.277,99.266,34.663,106.099,68.721,20.373,2106.926,0.993307
DSU-SYN-02,1,106.917,96.72,21.198,97.149,96.57,22.925,1941.612,0.008163
DSU-SYN-02,2,104.177,96.87,25.402,97.449,94.52,22.784,2005.043,0.009952
DSU-SYN-02,3,100.37,91.937,19.886,101.693,88.248,22.825,1999.809,0.012128
DSU-SYN-02,4,107.111,86.661,20.066,92.099,99.174,26.099,2061.048,0.014774
DSU-SYN-02,5,95.828,92.524,24.942,98.057,93.763,24.937,2027.769,0.017986
DSU-SYN-02,6,102.39,102.081,25.86,88.074,77.065,27.926,2092.609,0.021881
DSU-SYN-02,7,96.581,88.978,24.113,103.482,101.429,26.733,1984.862,0.026597
DSU-SYN-02,8,97.321,98.437,23.145,91.932,103.05,29.929,2092.115,0.032295
DSU-SYN-02,9,97.306,102.778,25.526,100.828,98.393,27.083,2066.454,0.039166
